32050067050,"COASTAL WAVES VACATIONS, LLC                      ","3616 7 MILE RD                          ","GALVESTON           ","TX","77554",084,00010," COASTAL WAVES VACATIONS                          ","4158 GREEN HERON DR                     ","GALVESTON           ","TX","77554",084,    1,       530.00,       530.00
32049649729,"ALL SEASONS RENTALS,  INC.                        ","15113 BAT HAWK CIR                      ","AUSTIN              ","TX","78738",227,00022," CROSSING C                                       ","613 HI CIR N                            ","HORSESHOE BAY       ","TX","78657",150,    1,         0.00,         0.00
32039987733,"TIRUPATI LODGING CORP.                            ","1407 S MAIN ST                          ","HIGHLANDS           ","TX","77562",101,00001," HIGHLANDS SUITES                                 ","1407 S MAIN ST                          ","HIGHLANDS           ","TX","77562",101,   31,     27264.87,     22864.87
32001947285,"IRMA A HARTMAN                                    ","2423 E MAIN ST                          ","EAGLE PASS          ","TX","78852",159,00001," HOLLY INN                                        ","2423 E MAIN ST                          ","EAGLE PASS          ","TX","78852",159,   70,      9553.98,      9553.98
32046829167,"SPI RENTALS, LLC                                  ","104 W BAHAMA ST STE B                   ","S PADRE ISLE        ","TX","78597",031,00046," SPI RENTALS, LLC - BEACH                         ","6401B BEACH DR                          ","SOUTH PADRE ISLAND  ","TX","78597",031,    1,      2670.00,      2670.00
32015454328,"WILLIAM T HOVESTADT                               ","PO BOX 310279                           ","NEW BRAUNFELS       ","TX","78131",046,00011," W T H INVESTMENTS                                ","777 CLOUD LN                            ","NEW BRAUNFELS       ","TX","78130",094,    1,      7589.00,      7589.00
32009496855,"MARCUS C STARKEY                                  ","PO BOX 1780                             ","PORT ARANSAS        ","TX","78373",178,00191,"(LC28) MICHAEL OR DAWN COACH                      ","6877 STATE HIGHWAY 361                  ","PORT ARANSAS        ","TX","78373",178,    1,         0.00,         0.00
32009496855,"MARCUS C STARKEY                                  ","PO BOX 1780                             ","PORT ARANSAS        ","TX","78373",178,00189,"(LC42) STEVEN GATTO                               ","6877 STATE HIGHWAY 361                  ","PORT ARANSAS        ","TX","78373",178,    1,      1524.17,         0.00
32009496855,"MARCUS C STARKEY                                  ","PO BOX 1780                             ","PORT ARANSAS        ","TX","78373",178,00155,"(PB 114) TERRY L CARTER                           ","2012 HWY 361 #114                       ","PORT ARANSAS        ","TX","78373",178,    1,      1550.00,         0.00
32009496855,"MARCUS C STARKEY                                  ","PO BOX 1780                             ","PORT ARANSAS        ","TX","78373",178,00156,"(PB 205) LARRY OR VICKY MURPHY                    ","2012 HWY 361 # 205                      ","PORT ARANSAS        ","TX","78373",178,    1,      1653.23,         0.00
